Category,Vietnamese,English,RobloxCode,Description
"Greeting","Xin chào","Hello","print(""Xin chào!"")","Basic print statement in Roblox Lua"
"Greeting","Tạm biệt","Goodbye","script.Parent.Touched:Connect(function(hit)
	print(""Tạm biệt!"")
end)","Basic touched event in Roblox"
"Question","Bạn tên là gì?","What is your name?","local playerName = player.Name
print(""Tên của bạn là: ""..playerName)","Getting player name in Roblox"
"Phrase","Cảm ơn bạn","Thank you","local thanksGui = script.Parent
thanksGui.Text = ""Cảm ơn bạn!""","Setting text on a GUI element"
"Programming","Vòng lặp","Loop","for i = 1, 10 do
	print(""Số "" .. i)
end","For loop in Lua"
"Programming","Điều kiện","Conditional","if player.Team.Name == ""Đỏ"" then
	print(""Bạn thuộc đội đỏ!"")
else
	print(""Bạn không thuộc đội đỏ!"")
end","If-else statement checking player team"
"Game","Nhân vật","Character","local character = player.Character or player.CharacterAdded:Wait()","Getting player character"
"Game","Di chuyển","Movement","local humanoid = character:WaitForChild(""Humanoid"")
humanoid.WalkSpeed = 20","Setting character walk speed"
"Interface","Nút bấm","Button","local button = script.Parent
button.MouseButton1Click:Connect(function()
	print(""Đã nhấn nút!"")
end)","Button click event"
"Interface","Giao diện người dùng","User Interface","local screenGui = Instance.new(""ScreenGui"")
local frame = Instance.new(""Frame"")
frame.Size = UDim2.new(0.5, 0, 0.5, 0)
frame.Position = UDim2.new(0.25, 0, 0.25, 0)
frame.Parent = screenGui
screenGui.Parent = player.PlayerGui","Creating a basic UI frame"
"Game","Vật thể","Object","local part = Instance.new(""Part"")
part.Size = Vector3.new(4, 1, 4)
part.Position = Vector3.new(0, 10, 0)
part.Anchored = true
part.Parent = workspace","Creating a basic part"
"Game","Sự kiện","Event","game.Players.PlayerAdded:Connect(function(player)
	print(player.Name .. "" đã tham gia!"")
end)","Player added event"
"Programming","Hàm","Function","local function tinhTong(a, b)
	return a + b
end

print(tinhTong(5, 3))","Creating and using a function"
"Programming","Bảng","Table","local thuocTinh = {
	ten = ""Kiếm"",
	satThuong = 10,
	doHiem = ""Hiếm""
}

print(thuocTinh.ten)","Using tables (dictionaries)"
"Game","Va chạm","Collision","part.Touched:Connect(function(hitPart)
	local character = hitPart.Parent
	local humanoid = character:FindFirstChild(""Humanoid"")
	if humanoid then
		print(""Người chơi đã chạm vào vật thể!"")
	end
end)","Detecting when a player touches a part"
"Game","Âm thanh","Sound","local sound = Instance.new(""Sound"")
sound.SoundId = ""rbxassetid://142376088""
sound.Volume = 0.5
sound.Parent = workspace
sound:Play()","Playing a sound"
"Data","Lưu trữ","Storage","local DataStoreService = game:GetService(""DataStoreService"")
local dataStore = DataStoreService:GetDataStore(""PlayerData"")

local function saveData(player)
	local success, errorMessage = pcall(function()
		dataStore:SetAsync(player.UserId, {coins = 100})
	end)
	if not success then
		print(""Lỗi lưu dữ liệu: "" .. errorMessage)
	end
end","Using DataStoreService to save data"
"Networking","Máy chủ","Server","local ReplicatedStorage = game:GetService(""ReplicatedStorage"")
local remoteEvent = Instance.new(""RemoteEvent"")
remoteEvent.Name = ""ThongBao""
remoteEvent.Parent = ReplicatedStorage

remoteEvent:FireAllClients(""Xin chào từ máy chủ!"")","Creating and using RemoteEvents"
"Networking","Máy khách","Client","local ReplicatedStorage = game:GetService(""ReplicatedStorage"")
local remoteEvent = ReplicatedStorage:WaitForChild(""ThongBao"")

remoteEvent.OnClientEvent:Connect(function(message)
	print(""Tin nhắn từ máy chủ: "" .. message)
end)","Receiving remote events on client"
"Animation","Hoạt ảnh","Animation","local animationId = ""rbxassetid://507766388""
local animation = Instance.new(""Animation"")
animation.AnimationId = animationId

local humanoid = character:WaitForChild(""Humanoid"")
local animator = humanoid:WaitForChild(""Animator"")
local animTrack = animator:LoadAnimation(animation)
animTrack:Play()","Loading and playing an animation"
"Programming","Biến","Variable","local tenNguoiChoi = ""NguyenVanA""
local diemSo = 100
local dangHoatDong = true","Declaring variables in Lua"
"Programming","Toán tử","Operators","local a = 5
local b = 10
local tong = a + b
local hieu = a - b
local tich = a * b
local thuong = a / b
local luythua = a ^ 2
local phandu = a % 2","Using operators in Lua"
"Programming","Chuỗi","String","local chuoi1 = ""Xin chào ""
local chuoi2 = ""thế giới!""
local ketQua = chuoi1 .. chuoi2
print(ketQua)","String concatenation in Lua"
"Programming","Mảng","Array","local danhSachVatPham = {""Kiếm"", ""Khiên"", ""Giáp"", ""Bùa""}
print(danhSachVatPham[1])
print(#danhSachVatPham)","Arrays in Lua (1-indexed)"
"Programming","Vòng lặp while","While loop","local i = 1
while i <= 5 do
	print(""Vòng lặp thứ "" .. i)
	i = i + 1
end","While loop in Lua"
"Programming","Vòng lặp repeat","Repeat loop","local i = 1
repeat
	print(""Vòng lặp thứ "" .. i)
	i = i + 1
until i > 5","Repeat-until loop in Lua"
"Programming","Hàm đệ quy","Recursive function","function giaiThua(n)
	if n <= 1 then
		return 1
	else
		return n * giaiThua(n-1)
	end
end

print(giaiThua(5))","Recursive function to calculate factorial"
"Programming","Biến toàn cục","Global variable","_G.DiemCaoNhat = 0

function capNhatDiem(diemMoi)
	if diemMoi > _G.DiemCaoNhat then
		_G.DiemCaoNhat = diemMoi
	end
end","Using global variables in Lua"
